name,email,user_id,password,address,phone,account_type
Rohan singh,rs@gmail.com,23,secret,ewew89 vic,76654452,Customer
Rex,rex@yahoo.in,45,trewq,ereew23,1232145,Customer
Customer,adasd,ddwdwd.com,rsdsd,secret,fssvvds,234
Customer,yj,tg,wed,yuj,yuj,wdw
Administrator,NA,sdf,dsf,sdf,NA,ert
Customer,masdx,m.com,Micheal,mmms,1234,Micheal
qwrty,saa.com,123,fgrt,efer,1111111111111111,Customer
ddd,cc.com,werw,asdsaad,NA,NA,Administrator
sdsds,sddsdds,das,sds,sdsdssdsd,sdsdsdsdsdsd,Customer
asdsaa,asdasd,sadsad,xssax,NA,NA,Administrator
Rohan Singh,Rohan@gmail.com,30042496,Secret,15/149 VIC,1233456,Customer
adad,asdasd,4535,dsaddas,d32dd,231123122,Customer
sfwfwe,sfrwew@gmail.com,959562,edwdds,ewfdw422,21313432,Customer
tim Cok,tim@gmail.com,r454,seret,erre345,1209495,Customer
